PROJECT,TRAINING-RELEASES,TEST-RELEASE,CLASSIFIER,FEATURE-SELECTION,BALANCING,COST-SENSITIVE,%-TRAINING,PRECISION,RECALL,AUC,KAPPA,ACCURACY,TRUE-NEGATIVE,TRUE-POSITIVE,FALSE-POSITIVE,FALSE-NEGATIVE
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,NO_BALANCING,SENSITIVE_THRESHOLD,92.58683830873377,0.3924050632911392,0.6326530612244898,0.7775543173650721,0.43303927368123296,90.11976047904191,571.0,31.0,48.0,18.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NO_COST_SENSITIVE,95.88872476612507,0.5,0.02040816326530612,0.8471695624938183,0.033656117146906,92.66467065868264,618.0,1.0,1.0,48.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,SENSITIVE_LEARNING,95.88872476612507,0.6666666666666666,0.08163265306122448,0.8209587550690712,0.13155565390573098,92.96407185628742,617.0,4.0,2.0,45.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,SENSITIVE_THRESHOLD,95.88872476612507,0.10913705583756345,0.8775510204081632,0.6552537008341301,0.07320295983086678,46.55688622754491,268.0,43.0,351.0,6.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NO_COST_SENSITIVE,62.344983089064264,0.4074074074074074,0.673469387755102,0.9234281757937424,0.45816329117132676,90.41916167664671,571.0,33.0,48.0,16.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,SENSITIVE_LEARNING,62.344983089064264,0.3387096774193548,0.8571428571428571,0.9315881441429561,0.42509573357057195,86.67664670658682,537.0,42.0,82.0,7.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,SENSITIVE_THRESHOLD,62.344983089064264,0.13043478260869565,0.9795918367346939,0.7313144967195279,0.1157316530029857,51.946107784431135,299.0,48.0,320.0,1.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,SMOTE,NO_COST_SENSITIVE,95.88847171785561,0.4117647058823529,0.14285714285714285,0.7077412548217995,0.18117957663476597,92.21556886227545,609.0,7.0,10.0,42.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,SMOTE,SENSITIVE_LEARNING,95.88847171785561,0.14124293785310735,0.5102040816326531,0.626223995252382,0.12014488632111506,73.65269461077844,467.0,25.0,152.0,24.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5",1.1.6,RANDOM_FOREST,BEST_FIRST,SMOTE,SENSITIVE_THRESHOLD,95.88847171785561,0.10098522167487685,0.8367346938775511,0.6235369753717319,0.05674005875405072,44.16167664670659,254.0,41.0,365.0,8.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5 1.1.6",1.0.9,RANDOM_FOREST,NO_FEATURE_SELECTION,NO_BALANCING,NO_COST_SENSITIVE,94.75289169295479,0.0,0.0,0.8853118712273642,0.0,99.59919839679358,497.0,0.0,0.0,2.0
SYNCOPE," 1.0.0-incubating 1.0.1-incubating 1.0.3-incubating 1.0.2-incubating 1.0.4 1.0.5 1.0.6 1.0.7 1.1.0 1.0.8 1.1.1 1.1.2 1.1.3 1.1.4 1.1.5 1.1.6",1.0.9,RANDOM_FOREST,NO_FEATURE_SELECTION,NO_BALANCING,SENSITIVE_LEARNING,94.75289169295479,0.0,0.0,0.5372233400402414,0.0,99.59919839679358,497.0,0.0,0.0,2.0
